Country,CountryCode,arrest_range1,arrest_range2,arrest_range3,arrest_range4,arrest_range5,arrest_range6,arrest_range7,arrest_range8,disap_range1,disap_range2,disap_range3,disap_range4,disap_range5,disap_range6,disap_range7,disap_range8,dpex_range1,dpex_range2,dpex_range3,dpex_range4,dpex_range5,dpex_range6,dpex_range7,dpex_range8,exkill_range1,exkill_range2,exkill_range3,exkill_range4,exkill_range5,exkill_range6,exkill_range7,exkill_range8,tort_range1,tort_range2,tort_range3,tort_range4,tort_range5,tort_range6,tort_range7,tort_range8,arrest_atrisk1,arrest_atrisk2,arrest_atrisk3,arrest_atrisk4,arrest_atrisk5,arrest_atrisk6,arrest_atrisk7,arrest_atrisk8,arrest_atrisk9,arrest_atrisk10,arrest_atrisk11,arrest_atrisk12,arrest_atrisk13,arrest_atrisk14,arrest_atrisk15,arrest_atrisk16,arrest_atrisk17,arrest_atrisk18,arrest_atrisk19,arrest_atrisk20,arrest_atrisk21,arrest_atrisk22,arrest_atrisk23,arrest_atrisk24,disap_atrisk1,disap_atrisk2,disap_atrisk3,disap_atrisk4,disap_atrisk5,disap_atrisk6,disap_atrisk7,disap_atrisk8,disap_atrisk9,disap_atrisk10,disap_atrisk11,disap_atrisk12,disap_atrisk13,disap_atrisk14,disap_atrisk15,disap_atrisk16,disap_atrisk17,disap_atrisk18,disap_atrisk19,disap_atrisk20,disap_atrisk21,disap_atrisk22,disap_atrisk23,disap_atrisk24,dpex_atrisk1,dpex_atrisk2,dpex_atrisk3,dpex_atrisk4,dpex_atrisk5,dpex_atrisk6,dpex_atrisk7,dpex_atrisk8,dpex_atrisk9,dpex_atrisk10,dpex_atrisk11,dpex_atrisk12,dpex_atrisk13,dpex_atrisk14,dpex_atrisk15,dpex_atrisk16,dpex_atrisk17,dpex_atrisk18,dpex_atrisk19,dpex_atrisk20,dpex_atrisk21,dpex_atrisk22,dpex_atrisk23,dpex_atrisk24,exkill_atrisk1,exkill_atrisk2,exkill_atrisk3,exkill_atrisk4,exkill_atrisk5,exkill_atrisk6,exkill_atrisk7,exkill_atrisk8,exkill_atrisk9,exkill_atrisk10,exkill_atrisk11,exkill_atrisk12,exkill_atrisk13,exkill_atrisk14,exkill_atrisk15,exkill_atrisk16,exkill_atrisk17,exkill_atrisk18,exkill_atrisk19,exkill_atrisk20,exkill_atrisk21,exkill_atrisk22,exkill_atrisk23,exkill_atrisk24,tort_atrisk1,tort_atrisk2,tort_atrisk3,tort_atrisk4,tort_atrisk5,tort_atrisk6,tort_atrisk7,tort_atrisk8,tort_atrisk9,tort_atrisk10,tort_atrisk11,tort_atrisk12,tort_atrisk13,tort_atrisk14,tort_atrisk15,tort_atrisk16,tort_atrisk17,tort_atrisk18,tort_atrisk19,tort_atrisk20,tort_atrisk21,tort_atrisk22,tort_atrisk23,tort_atrisk24,assoc_atrisk1,assoc_atrisk2,assoc_atrisk3,assoc_atrisk4,assoc_atrisk5,assoc_atrisk6,assoc_atrisk7,assoc_atrisk8,assoc_atrisk9,assoc_atrisk10,assoc_atrisk11,assoc_atrisk12,assoc_atrisk13,assoc_atrisk14,assoc_atrisk15,assoc_atrisk16,assoc_atrisk17,assoc_atrisk18,assoc_atrisk19,assoc_atrisk20,assoc_atrisk21,assoc_atrisk22,assoc_atrisk23,assoc_atrisk24,assem_atrisk1,assem_atrisk2,assem_atrisk3,assem_atrisk4,assem_atrisk5,assem_atrisk6,assem_atrisk7,assem_atrisk8,assem_atrisk9,assem_atrisk10,assem_atrisk11,assem_atrisk12,assem_atrisk13,assem_atrisk14,assem_atrisk15,assem_atrisk16,assem_atrisk17,assem_atrisk18,assem_atrisk19,assem_atrisk20,assem_atrisk21,assem_atrisk22,assem_atrisk23,assem_atrisk24,polpart_atrisk1,polpart_atrisk2,polpart_atrisk3,polpart_atrisk4,polpart_atrisk5,polpart_atrisk6,polpart_atrisk7,polpart_atrisk8,polpart_atrisk9,polpart_atrisk10,polpart_atrisk11,polpart_atrisk12,polpart_atrisk13,polpart_atrisk14,polpart_atrisk15,polpart_atrisk16,polpart_atrisk17,polpart_atrisk18,polpart_atrisk19,polpart_atrisk20,polpart_atrisk21,polpart_atrisk22,polpart_atrisk23,polpart_atrisk24,express_atrisk1,express_atrisk2,express_atrisk3,express_atrisk4,express_atrisk5,express_atrisk6,express_atrisk7,express_atrisk8,express_atrisk9,express_atrisk10,express_atrisk11,express_atrisk12,express_atrisk13,express_atrisk14,express_atrisk15,express_atrisk16,express_atrisk17,express_atrisk18,express_atrisk19,express_atrisk20,express_atrisk21,express_atrisk22,express_atrisk23,express_atrisk24
Angola,1,0,.27272728,1,.36363637,.45454547,.090909094,0,.27272728,.55555558,.11111111,.22222222,.33333334,.22222222,.11111111,.11111111,.11111111,.66666669,.33333334,.11111111,0,.11111111,0,0,.11111111,.22222222,.44444445,.33333334,.22222222,.33333334,.11111111,.11111111,.11111111,0,.54545456,.81818181,.27272728,.54545456,.18181819,0,.45454547,0,0,.36363637,.18181819,0,.27272728,.27272728,.090909094,.18181819,.090909094,.27272728,.27272728,.54545456,.18181819,.54545456,.81818181,.090909094,.090909094,0,.27272728,.090909094,0,.18181819,.090909094,.11111111,0,0,0,.11111111,0,0,0,0,0,0,.11111111,.33333334,0,0,0,0,0,0,0,0,0,.22222222,.33333334,0,0,0,0,0,0,.11111111,0,.11111111,0,0,.22222222,.11111111,0,.11111111,.11111111,0,0,0,0,0,0,0,.22222222,.11111111,0,0,0,.11111111,0,.11111111,0,.44444445,0,0,.22222222,.33333334,0,.11111111,.22222222,0,0,0,0,0,0,.22222222,0,.090909094,0,.27272728,.18181819,.18181819,.36363637,.36363637,.090909094,.45454547,.18181819,.27272728,1,.72727275,.18181819,.36363637,.81818181,0,0,0,.45454547,.090909094,0,.18181819,.090909094,.14285715,0,.2857143,0,.14285715,0,0,0,0,0,.14285715,0,.5714286,.14285715,0,.71428573,.2857143,0,0,0,0,0,.14285715,0,.14285715,0,.2857143,0,.14285715,0,0,0,.14285715,0,.14285715,0,.42857143,.2857143,0,.71428573,.14285715,0,0,0,0,0,.2857143,.2857143,.22222222,0,.22222222,0,.11111111,.11111111,.11111111,0,.22222222,0,.55555558,.11111111,.77777779,.22222222,.33333334,.33333334,.22222222,0,0,.11111111,0,.22222222,.11111111,.11111111,0,0,0,0,.11111111,.33333334,.22222222,.11111111,.22222222,0,.33333334,.11111111,.77777779,.66666669,1,1,.44444445,.33333334,.11111111,.22222222,.11111111,0,.33333334,.11111111
Australia,2,.125,.125,.125,.25,.625,0,.125,.25,.75,0,0,0,.25,0,0,0,1,0,0,0,0,0,0,0,.625,.125,0,0,.375,0,0,.25,0,.375,.125,0,1,0,0,.5,0,.125,0,0,0,.375,.25,.625,0,0,0,.375,.125,0,0,0,0,0,0,0,0,.125,0,.25,.125,.125,0,.125,0,0,.125,.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,0,0,.125,.25,0,0,0,0,0,.125,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.25,0,0,.125,.875,.25,1,.125,.125,0,.625,0,0,0,.125,0,0,0,0,.25,.25,0,0,0,0,0,0,0,.2857143,0,.14285715,0,0,0,.14285715,.2857143,.2857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.14285715,0,.14285715,0,0,0,0,.42857143,.14285715,0,0,0,0,0,0,0,0,0,.2857143,0,0,0,0,0,.125,.125,.125,.125,.25,.25,.375,.25,0,0,0,0,0,.125,0,.125,.125,0,.125,0,0,0,0,0,0,.14285715,.2857143,.14285715,.14285715,0,.14285715,.2857143,.14285715,.42857143,.42857143,.14285715,.2857143,0,0,0,0,0,.14285715
Brazil,3,0,.2,1,0,.40000001,0,0,0,.2,.60000002,.60000002,0,.40000001,0,0,0,.60000002,0,0,0,.2,0,0,.2,0,.80000001,.40000001,0,.60000002,0,0,.2,0,.66666669,.5,0,.5,0,0,0,.2,.60000002,.2,0,0,0,.2,.2,.60000002,.60000002,.60000002,.60000002,.60000002,.40000001,.40000001,.60000002,0,0,.2,.2,0,0,0,.2,.2,.80000001,.2,0,0,.2,.2,.2,.80000001,.40000001,.60000002,.60000002,0,0,.2,.40000001,0,0,.2,0,0,0,0,.2,.2,.2,.2,0,0,0,.2,.2,.2,.2,.2,.2,0,0,0,.2,0,0,0,0,0,0,0,0,.2,1,.2,0,0,.2,0,.2,1,.60000002,.60000002,.60000002,0,0,0,.60000002,0,0,.2,0,0,0,.2,.2,0,1,0,0,0,.33333334,.16666667,.16666667,.83333331,.33333334,.33333334,.66666669,0,0,.33333334,.33333334,0,0,.33333334,.5,.16666667,0,.33333334,.16666667,0,0,0,0,.2,0,0,0,0,0,.2,0,.2,0,0,.2,0,0,0,0,0,0,.2,0,.2,.40000001,0,0,.2,0,0,0,.2,.2,.2,0,.80000001,.40000001,.40000001,.60000002,.2,0,0,0,0,0,.2,0,0,0,0,0,0,0,0,0,0,0,.2,0,.40000001,.2,.2,.2,.2,0,0,0,0,0,0,0,0,.2,0,0,.2,0,0,0,0,0,.2,0,.60000002,.40000001,.40000001,.60000002,.40000001,0,.40000001,.2,0,0,0,0
Fiji,4,.090909094,.27272728,.72727275,.090909094,.45454547,.090909094,0,.090909094,.81818181,0,.090909094,.090909094,0,0,.090909094,0,.72727275,0,.090909094,.090909094,0,0,.18181819,0,.72727275,.090909094,.090909094,.090909094,0,0,.090909094,0,.16666667,.33333334,.33333334,0,.41666666,.16666667,0,.33333334,.18181819,.090909094,0,0,0,.090909094,.090909094,.090909094,.090909094,.090909094,.18181819,.27272728,.63636363,.36363637,.36363637,.54545456,.090909094,0,.45454547,0,0,0,.090909094,0,0,.090909094,0,0,0,0,0,0,0,0,0,0,.090909094,0,.090909094,.090909094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.090909094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.090909094,.090909094,.090909094,.090909094,.090909094,.090909094,0,0,0,0,0,0,0,0,.16666667,.083333336,0,0,0,.083333336,0,.33333334,.25,.16666667,.16666667,.5,.58333331,.58333331,.41666666,.58333331,.25,.083333336,.66666669,.083333336,0,0,.16666667,0,.27272728,.27272728,.36363637,.090909094,0,.27272728,.090909094,0,.090909094,0,.090909094,0,.90909094,1,.45454547,.72727275,.54545456,.45454547,.36363637,.18181819,.090909094,.090909094,.18181819,0,.18181819,.27272728,.36363637,0,.090909094,.27272728,0,0,.090909094,0,.090909094,0,.90909094,.90909094,.54545456,.90909094,.54545456,.36363637,.36363637,.18181819,0,0,.18181819,.090909094,.45454547,.18181819,.18181819,.090909094,.18181819,.18181819,0,0,.090909094,0,.18181819,.18181819,.90909094,.81818181,.63636363,.72727275,.27272728,.36363637,.36363637,.27272728,0,.090909094,.27272728,0,.27272728,.27272728,.36363637,.090909094,.090909094,.45454547,0,0,.18181819,0,.18181819,0,1,.90909094,.90909094,1,.72727275,.63636363,.45454547,.090909094,0,0,.27272728,.18181819
Kazakhstan,5,.11111111,.22222222,.8888889,.11111111,.22222222,0,0,0,.66666669,0,.11111111,0,.11111111,0,.22222222,.11111111,.66666669,0,0,.22222222,0,0,.22222222,0,.55555558,.22222222,.22222222,.11111111,.11111111,0,0,.22222222,0,.58333331,.5,.16666667,.083333336,.33333334,0,0,0,0,.55555558,0,0,0,.33333334,0,.22222222,.44444445,.22222222,.44444445,.55555558,.55555558,.66666669,.8888889,0,0,.22222222,.11111111,0,0,.11111111,.11111111,0,0,0,0,0,0,0,0,0,.11111111,0,0,.11111111,0,0,0,0,0,0,0,0,0,0,.22222222,0,0,.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.22222222,0,0,.11111111,0,0,0,0,0,0,0,0,.33333334,0,0,.11111111,0,0,0,0,0,0,0,0,.11111111,0,0,.58333331,.083333336,.083333336,.083333336,.083333336,.083333336,.25,.5,.25,.83333331,.5,.33333334,.5,.66666669,0,0,.33333334,.25,.083333336,.083333336,.083333336,0,0,0,.77777779,0,0,0,0,0,.11111111,0,.11111111,.33333334,.66666669,.77777779,.33333334,.8888889,0,.11111111,.33333334,.11111111,0,.11111111,.22222222,.22222222,.11111111,0,.66666669,.11111111,0,0,0,0,.11111111,.11111111,.11111111,.11111111,.66666669,.8888889,.44444445,.8888889,0,.11111111,.33333334,.11111111,.11111111,.11111111,.11111111,.11111111,.11111111,.11111111,.44444445,.11111111,.11111111,.11111111,.33333334,.22222222,.22222222,.44444445,.11111111,.33333334,.66666669,.55555558,.44444445,.55555558,.11111111,.11111111,.33333334,.22222222,.11111111,.22222222,.33333334,.22222222,.11111111,0,.66666669,.22222222,0,.11111111,0,.11111111,.11111111,.11111111,.11111111,.33333334,.77777779,.77777779,1,1,0,.22222222,.44444445,.11111111,.11111111,.11111111,.11111111,0
Kyrgyzstan,6,0,.44444445,.55555558,.55555558,.55555558,0,0,.22222222,.42857143,.2857143,.2857143,.42857143,.14285715,0,.2857143,0,.5,.125,0,.125,0,0,.375,0,.25,.125,.125,.5,.125,0,.125,0,0,.40000001,.40000001,.60000002,.69999999,.1,0,0,.55555558,0,.55555558,.11111111,0,0,0,0,.22222222,.22222222,.22222222,.22222222,.66666669,0,.11111111,.11111111,0,0,.11111111,0,0,0,0,0,.125,0,.25,0,0,0,0,0,.25,.125,.25,.25,0,0,0,0,0,0,.125,0,0,0,0,0,0,0,0,0,0,0,.125,.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,0,0,0,0,0,0,0,0,.125,0,0,0,0,0,0,0,0,0,0,0,0,.69999999,0,.40000001,.1,0,0,0,0,.30000001,.2,.40000001,.69999999,.30000001,0,.1,.2,.1,0,.5,0,.2,0,0,0,.14285715,0,.14285715,0,0,0,0,0,0,0,0,0,.2857143,0,.42857143,.42857143,0,0,0,0,0,0,0,0,0,0,.2857143,0,0,0,0,0,0,0,0,0,.5714286,0,.2857143,.42857143,0,0,.14285715,0,0,0,.14285715,0,.42857143,0,0,0,0,0,0,.14285715,.14285715,.14285715,.14285715,.14285715,.42857143,0,.2857143,.2857143,0,0,0,0,0,.14285715,.14285715,.2857143,.14285715,0,.14285715,0,0,0,0,0,0,0,0,0,.5714286,0,.85714287,.5714286,0,.14285715,.14285715,0,0,0,0,0
Liberia,7,.2857143,.2857143,.2857143,0,.14285715,.14285715,0,0,.85714287,0,0,0,0,0,.14285715,0,.71428573,.14285715,0,0,0,0,.14285715,0,.5714286,0,0,0,0,0,.42857143,.14285715,.2857143,.42857143,.42857143,0,.14285715,0,0,.14285715,0,0,0,0,0,0,0,0,.2857143,0,0,.2857143,.14285715,0,.2857143,.14285715,0,0,0,0,0,0,.14285715,0,.14285715,0,0,0,0,0,0,0,0,0,0,.14285715,.14285715,.14285715,.14285715,.14285715,0,0,.14285715,.14285715,.14285715,.14285715,0,.42857143,.14285715,0,0,0,0,0,0,0,0,0,0,.14285715,.14285715,.14285715,.14285715,.14285715,0,0,.14285715,.14285715,.14285715,.14285715,0,.2857143,.14285715,0,0,0,0,0,0,0,0,0,0,.14285715,.14285715,0,.14285715,.14285715,0,0,.14285715,.14285715,.14285715,.14285715,0,.2857143,.14285715,0,0,0,.14285715,0,0,0,0,0,0,.5714286,.14285715,.14285715,.5714286,.14285715,0,0,.2857143,0,0,0,.14285715,0,0,0,0,0,0,0,0,0,0,0,.14285715,0,.42857143,.42857143,.14285715,.14285715,.2857143,0,.2857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.14285715,0,.42857143,.5714286,.14285715,.14285715,.14285715,.14285715,.42857143,.14285715,.14285715,0,0,.2857143,.2857143,.14285715,.14285715,.14285715,0,.14285715,0,0,.14285715,0,0,.2857143,.42857143,0,0,.14285715,0,0,.2857143,.14285715,0,.14285715,0,.14285715,0,0,.14285715,0,.14285715,0,0,0,.14285715,0,.14285715,.14285715,.42857143,.42857143,.5714286,.2857143,.14285715,0,.2857143,.14285715,.14285715,0,0,0
Mexico,8,0,1,.83333331,.33333334,.5,.5,0,.16666667,0,.60000002,.40000001,.2,0,.60000002,0,0,.60000002,.40000001,.2,.2,0,0,0,.2,0,1,.60000002,.40000001,0,.40000001,0,0,0,.83333331,.16666667,.33333334,.33333334,.33333334,0,.33333334,.33333334,0,0,.33333334,0,.5,.66666669,.66666669,.66666669,0,.5,.83333331,.16666667,0,.33333334,.5,0,0,.16666667,.16666667,0,0,0,0,0,0,0,0,0,0,.2,.40000001,.60000002,0,.2,.60000002,.2,0,.40000001,.40000001,.2,0,.2,.60000002,.2,0,.2,0,0,0,0,0,0,0,0,0,0,0,0,0,.2,0,.2,0,0,0,0,0,0,0,0,.40000001,0,0,0,0,0,.40000001,.40000001,.2,.2,0,.40000001,.60000002,0,0,0,.2,0,0,0,0,0,0,0,0,.33333334,0,0,0,0,.66666669,.5,.83333331,.83333331,.16666667,.33333334,1,0,0,.16666667,.16666667,0,0,.16666667,.33333334,0,.16666667,0,0,0,0,0,0,0,.40000001,0,0,.2,0,0,.2,.60000002,.2,.2,.2,.2,0,0,0,0,0,0,.2,0,0,0,0,0,.40000001,0,0,.2,0,.2,0,.80000001,.40000001,0,0,0,0,0,0,0,0,0,.2,.2,.2,0,.2,.2,.80000001,.40000001,0,.60000002,0,.40000001,0,.2,.2,.2,0,0,0,0,0,0,0,.40000001,.40000001,0,0,0,0,0,.60000002,0,.2,0,0,.2,.2,.40000001,0,1,1,.40000001,.2,0,0,0,0,.2,.2
Mozambique,9,.1,.60000002,.5,.2,.1,.1,0,.1,.22222222,.33333334,.44444445,0,.33333334,0,.11111111,.11111111,.66666669,.11111111,0,0,0,0,.11111111,.11111111,.33333334,.44444445,.33333334,.11111111,0,0,.11111111,0,.090909094,.63636363,.63636363,.18181819,.090909094,0,0,.090909094,0,0,0,0,0,0,.1,0,.2,.1,.30000001,.2,.40000001,0,.60000002,.40000001,.1,.1,.1,0,.1,.1,0,.1,0,0,0,0,0,0,0,0,.11111111,0,.11111111,.11111111,.55555558,0,.33333334,.33333334,.11111111,.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11111111,0,0,0,0,0,0,0,0,0,0,.33333334,0,0,0,0,0,0,0,0,.11111111,0,0,.44444445,.33333334,0,.22222222,.22222222,.22222222,.11111111,0,0,0,0,.11111111,.11111111,0,0,0,0,0,0,0,.090909094,.27272728,0,.27272728,.63636363,.45454547,0,.45454547,.36363637,.18181819,.090909094,.090909094,0,.090909094,.090909094,0,.090909094,.14285715,.14285715,0,0,0,0,0,0,0,0,0,.14285715,.2857143,0,0,.14285715,0,0,.42857143,0,0,0,0,.14285715,0,0,0,0,0,0,0,0,0,0,0,0,.42857143,.2857143,0,.2857143,.14285715,0,.14285715,0,0,0,0,.2857143,0,0,0,0,0,0,0,0,.11111111,0,.11111111,.44444445,.55555558,0,.55555558,.33333334,.22222222,0,0,.11111111,0,.11111111,.22222222,0,0,0,0,0,0,0,0,0,.22222222,0,0,.11111111,.33333334,0,.77777779,.44444445,.33333334,.11111111,.22222222,0,0,0,0,0
Nepal,10,0,.5,.5,.875,.25,.125,0,0,.71428573,.14285715,0,0,0,0,.14285715,0,.75,.125,0,.125,0,0,.125,0,.375,.125,.125,.375,0,0,.125,0,0,.77777779,.55555558,.22222222,.33333334,.11111111,.11111111,0,.25,.125,0,0,0,.375,0,0,.5,.125,.25,.5,.5,0,0,0,0,0,.125,.25,.25,0,0,.125,0,0,0,0,0,0,0,0,0,0,0,0,.125,0,0,0,0,0,0,0,0,0,.125,.125,0,0,0,0,0,0,0,0,0,0,0,0,.125,0,0,0,0,0,0,0,0,0,0,.25,0,0,0,0,0,0,0,0,0,0,0,.25,.125,0,0,0,0,0,0,0,0,0,0,.125,.33333334,.11111111,.11111111,0,.11111111,.33333334,0,.11111111,.44444445,.11111111,.22222222,.55555558,.11111111,0,.11111111,.22222222,0,0,.55555558,.22222222,.22222222,.22222222,0,0,0,0,0,0,0,0,0,.14285715,0,0,0,0,.42857143,0,0,.14285715,0,0,0,0,0,0,0,.2857143,0,0,0,0,0,0,0,0,0,0,0,0,.5714286,0,0,.14285715,0,0,0,0,0,0,0,.2857143,.25,0,0,0,0,0,0,0,.125,0,.25,0,.25,0,0,0,0,0,.125,.125,0,.25,.25,.25,0,0,0,0,0,.14285715,0,0,0,0,0,0,.14285715,0,0,0,0,0,0,0,0,0,.14285715,.2857143
